lexicon,label
圆弧形舷板,施工
甲板板,施工
最小值,属性
机炉舱,空间
潜水补给船,建筑
铸钢件,施工
骨材间距,属性
流水孔,施工
减薄,状态
双层底,施工
双层底船,建筑
外力,进程
尾轴架,施工
舵,施工
舵旁板,施工
安全系数,属性
起重机,施工
船员升降机,施工
强肋骨腹板,施工
全熔透焊接板,施工
上舵承,施工
最大航速,属性
水密旁桁材,施工
钢板,施工
全焊透,成果
端部肘板,施工
整体式,施工
包板,施工
单甲板船,建筑
铸钢首柱,施工
救助艇,施工
肘板,空间
螺栓载荷,进程
转环,施工
下层货舱,空间
复板,施工
舵销直径,属性
1966年国际载重线公约,成果
面板宽度,属性
铸钢承座,施工
锥形,进程
高负荷区域,空间
无杆锚,施工
甲板室,空间
压缩载荷部位,施工
环形框架,施工
设计,进程
强力构件,施工
开孔高度,属性
厚度,属性
起重零部件,施工
无杆首锚,施工
钢丝绳,施工
船底肋板,施工
强力甲板,施工
甲板边板,施工
连接肘板,施工
水平面板,施工
端壁,施工
螺栓直径,属性
钢镶框,施工
首部,施工
船体外板,施工
舱壁,施工
船体,建筑
端部,进程
箱形中桁材,施工
抓力,施工
拖带作业,施工
面板剖面积,属性
甲板设备,施工
船底板,施工
支承锚机,施工
下舵承,施工
非轮式降落机构,施工
系固处,进程
电缆,施工
叶片,施工
下甲板,施工
泵舱,空间
补强,状态
许用值,进程
端部外板,施工
隔板,施工
设计细节,进程
铸钢,施工
计算剖面,进程
边液舱,空间
端接缝,施工
锚,施工
上层连续甲板,施工
杂货,施工
舷侧纵桁,施工
分段铸件,施工
肋板高度,属性
塞焊孔,施工
门,施工
桅支索眼板,施工
应急通道,施工
遮蔽板,施工
舱口盖,施工
腹板厚度,属性
端部甲板,施工
舷墙支架支撑,进程
舱口围板,施工
构件尺寸,属性
空心矩形剖面,进程
活动横梁,施工
内底纵骨,施工
切断,状态
船体结构,施工
抗扭箱形结构,施工
尾突出体,施工
舱底污水井,施工
客船,建筑
连接节点,施工
凸缘,施工
钢材,施工
重量,属性
起重柱,施工
甲板强横梁,施工
舱口盖板,施工
材料级别II,成果
甲板敷盖,施工
转子,施工
搭接焊缝,施工
挡浪板,施工
横向隔板,施工
焊接连接处,进程
半径,属性
化学品液货船,建筑
化学成分,属性
内底边板,施工
跨距,属性
圆形孔,进程
桅侧稳索,施工
排水舷口,施工
腹板高度,属性
钢质材料,施工
水密舱壁,施工
填料函,施工
减小,状态
桅,施工
对合,施工
船中剖面模数,属性
对接焊缝,施工
内底,施工
搭接,进程
舱壁板,施工
水密横舱壁,施工
集装箱船,建筑
水平距离,属性
舷墙,施工
最小厚度,属性
肋距,属性
塞焊处,进程
轴毂,施工
间距,属性
舵杆围阱,施工
布置,施工
舷侧,施工
横向舱壁,施工
舵板,施工
双面焊接,成果
比值,属性
船底骨架,施工
邻接构件,施工
纵向加强筋,施工
舵柱,施工
液舱舱壁,施工
圆弧倒角,施工
安全工作负荷,进程
悬臂梁,施工
无舵柱,施工
载荷,进程
法兰边,施工
护舷条,施工
钢级,成果
抽唧率,属性
钢质舱口盖,施工
位置,进程
变形,状态
排水型船舶,建筑
批准,进程
滚装船,建筑
舱口,施工
拖索,施工
折边,施工
挖孔间断焊,成果
单层底船舶,建筑
通道开口,进程
船舶与海上设施起重设备规范,成果
直升机制造商,进程
距离,属性
舵杆,施工
绞车,施工
臂长,属性
趾端,施工
顶板,施工
计算跨距,属性
最下层甲板,施工
实心承座,施工
拖带装置,施工
实肋板,施工
缆索,施工
液化气体船,建筑
横梁,施工
甲板横梁,施工
附件,施工
搭接焊,成果
旁内龙骨,施工
高拉伸应力,进程
舭肘板,施工
凸形甲板,施工
主船体,施工
压载水舱,空间
空气管,施工
直径,属性
油舱,施工
淡水舱,空间
污水舱,空间
空舱,空间
板材厚度,属性
