sentence,relation,head,head_offset,head_type,tail,tail_offset,tail_type
"上层建筑及甲板室:上层连续甲板上,由一舷伸至另一舷的或其侧壁板离船壳板向内不大于4%船宽B的围蔽建筑为上层建筑,即首楼、桥楼、尾楼",方位,甲板室,5,空间,上层连续甲板,9,施工
"长上层建筑及短上层建筑:长度大于0.15L,且不小于其高度6倍的上层建筑为长上层建筑;不符合长上层建筑条件的为短上层建筑",定义,长上层建筑,0,建筑,上层建筑,32,建筑
"长上层建筑及短上层建筑:长度大于0.15L,且不小于其高度6倍的上层建筑为长上层建筑;不符合长上层建筑条件的为短上层建筑",定义,短上层建筑,6,建筑,上层建筑,32,建筑
"长甲板室及短甲板室:长度大于0.15L,且不小于其高度6倍的甲板室为长甲板室;不符合长甲板室条件的为短甲板室",定义,长甲板室,0,空间,甲板室,30,空间
"长甲板室及短甲板室:长度大于0.15L,且不小于其高度6倍的甲板室为长甲板室;不符合长甲板室条件的为短甲板室",定义,短甲板室,5,空间,甲板室,30,空间
装载率γ(m3/t):货舱容积对货舱内货物质量的比值(货舱容积不包括舱口围所包围的容积),定义,装载率,0,属性,比值,24,属性
首、尾垂线:首垂线为通过首柱前缘与夏季载重线交点的垂线,定义,首垂线,6,进程,垂线,25,进程
"尾垂线为通过舵柱后缘与夏季载重线交点的垂线,对无舵柱船舶为舵杆中心线,对无舵杆的船舶为船长L的尾端",定义,尾垂线,0,进程,垂线,19,进程
"主要构件:船体的主要支撑构件称为主要构件,如强肋骨、舷侧纵桁、强横梁、甲板纵桁、实肋板、船底桁材、舱壁桁材等",定义,主要构件,0,施工,主要支撑构件,8,施工
"主要构件:船体的主要支撑构件称为主要构件,如强肋骨、舷侧纵桁、强横梁、甲板纵桁、实肋板、船底桁材、舱壁桁材等",包含,主要构件,0,施工,强肋骨,22,施工
"主要构件:船体的主要支撑构件称为主要构件,如强肋骨、舷侧纵桁、强横梁、甲板纵桁、实肋板、船底桁材、舱壁桁材等",包含,主要构件,0,施工,舷侧纵桁,26,施工
"主要构件:船体的主要支撑构件称为主要构件,如强肋骨、舷侧纵桁、强横梁、甲板纵桁、实肋板、船底桁材、舱壁桁材等",包含,主要构件,0,施工,强横梁,31,施工
"主要构件:船体的主要支撑构件称为主要构件,如强肋骨、舷侧纵桁、强横梁、甲板纵桁、实肋板、船底桁材、舱壁桁材等",包含,主要构件,0,施工,甲板纵桁,35,施工
"主要构件:船体的主要支撑构件称为主要构件,如强肋骨、舷侧纵桁、强横梁、甲板纵桁、实肋板、船底桁材、舱壁桁材等",包含,主要构件,0,施工,实肋板,40,施工
"主要构件:船体的主要支撑构件称为主要构件,如强肋骨、舷侧纵桁、强横梁、甲板纵桁、实肋板、船底桁材、舱壁桁材等",包含,主要构件,0,施工,船底桁材,44,施工
"主要构件:船体的主要支撑构件称为主要构件,如强肋骨、舷侧纵桁、强横梁、甲板纵桁、实肋板、船底桁材、舱壁桁材等",包含,主要构件,0,施工,舱壁桁材,49,施工
"次要构件:一般是指板的扶强构件,如肋骨、纵骨、横梁、舱壁扶强材、组合肋板的骨材等",定义,次要构件,0,施工,扶强构件,11,施工
"次要构件:一般是指板的扶强构件,如肋骨、纵骨、横梁、舱壁扶强材、组合肋板的骨材等",包含,次要构件,0,施工,肋骨,17,施工
"次要构件:一般是指板的扶强构件,如肋骨、纵骨、横梁、舱壁扶强材、组合肋板的骨材等",包含,次要构件,0,施工,纵骨,20,施工
"次要构件:一般是指板的扶强构件,如肋骨、纵骨、横梁、舱壁扶强材、组合肋板的骨材等",包含,次要构件,0,施工,横梁,23,施工
"次要构件:一般是指板的扶强构件,如肋骨、纵骨、横梁、舱壁扶强材、组合肋板的骨材等",包含,次要构件,0,施工,舱壁扶强材,26,施工
"次要构件:一般是指板的扶强构件,如肋骨、纵骨、横梁、舱壁扶强材、组合肋板的骨材等",包含,次要构件,0,施工,骨材,37,施工
载重线船长LL(m):«1966年国际载重线公约»附则I第3条定义的船长,定义,载重线船长,0,属性,船长,34,属性
"位置1:根据«1966年国际载重线公约»附则I第13条的定义,为在露天的干舷甲板上和后升高甲板上,以及位于从首垂线起载重线船长的1/4以前的露天上层建筑甲板上的位置",定义,位置1,0,进程,位置,80,进程
"位置2:根据«1966年国际载重线公约»附则I第13条的定义,为在位于从首垂线起载重线船长的1/4以后干舷甲板上至少一个标准上层建筑高度的露天上层建筑甲板上的位置,以及在位于从首垂线起载重线船长的1/4以前,且在干舷甲板上至少两个标准上层建筑高度的露天上层建筑甲板上的位置",定义,位置2,0,进程,位置,79,进程
"主肋骨:防撞舱壁与尾尖舱舱壁之间,最下层甲板以下的舷侧肋骨",定义,主肋骨,0,施工,舷侧肋骨,25,施工
"主肋骨:防撞舱壁与尾尖舱舱壁之间,最下层甲板以下的舷侧肋骨",方位,主肋骨,0,施工,防撞舱壁,4,施工
"主肋骨:防撞舱壁与尾尖舱舱壁之间,最下层甲板以下的舷侧肋骨",方位,主肋骨,0,施工,尾尖舱舱壁,9,施工
"主肋骨:防撞舱壁与尾尖舱舱壁之间,最下层甲板以下的舷侧肋骨",方位,主肋骨,0,施工,最下层甲板,17,施工
甲板间肋骨:两层甲板之间的肋骨,定义,甲板间肋骨,0,施工,肋骨,13,施工
甲板间肋骨:两层甲板之间的肋骨,方位,甲板间肋骨,0,施工,甲板,8,施工
"首尖舱:位于防撞舱壁之前,舱壁甲板之下的舱",定义,首尖舱,0,空间,舱,20,空间
"首尖舱:位于防撞舱壁之前,舱壁甲板之下的舱",方位,首尖舱,0,空间,防撞舱壁,6,施工
"首尖舱:位于防撞舱壁之前,舱壁甲板之下的舱",方位,首尖舱,0,空间,舱壁甲板,13,施工
"尾尖舱:位于船舶尾部最后一道水密舱壁之后,舱壁甲板或水密平台甲板之下的舱",定义,尾尖舱,0,空间,舱,35,空间
"尾尖舱:位于船舶尾部最后一道水密舱壁之后,舱壁甲板或水密平台甲板之下的舱",方位,尾尖舱,0,空间,水密舱壁,14,施工
"尾尖舱:位于船舶尾部最后一道水密舱壁之后,舱壁甲板或水密平台甲板之下的舱",方位,尾尖舱,0,空间,舱壁甲板,21,施工
"尾尖舱:位于船舶尾部最后一道水密舱壁之后,舱壁甲板或水密平台甲板之下的舱",方位,尾尖舱,0,空间,水密平台甲板,26,施工
最大服务航速V(kn):船舶按其设计在营运中以最深航行吃水、螺旋桨最大转速(RPM)和发动机的相应最大持续功率(MCR)所保持的最大航速,定义,最大服务航速,0,属性,最大航速,64,属性
"本篇内所规定的各种构件,除另有规定者外,不应任意开孔",制约,构件,9,施工,开孔,24,施工
"除另有规定者外,本篇所规定的各种构件尺寸均系最小值",制约,构件尺寸,16,属性,最小值,22,属性
"对于在使用中可能经常承受靠泊、顶推或拖带等外力的局部构件,应作适当加强",包含,外力,21,进程,靠泊,12,进程
"对于在使用中可能经常承受靠泊、顶推或拖带等外力的局部构件,应作适当加强",包含,外力,21,进程,顶推,15,进程
"对于在使用中可能经常承受靠泊、顶推或拖带等外力的局部构件,应作适当加强",包含,外力,21,进程,拖带,18,进程
"次要构件的带板宽度,取为1个骨材间距",属性,次要构件,0,施工,带板宽度,5,属性
"次要构件的带板宽度,取为1个骨材间距",制约,带板宽度,5,属性,骨材间距,14,属性
"除另有规定者外,本篇计算构件所取的计算跨距均为跨距点之间的有效跨距",属性,构件,12,施工,计算跨距,17,属性
"除另有规定者外,本篇计算构件所取的计算跨距均为跨距点之间的有效跨距",制约,计算跨距,17,属性,有效跨距,29,属性
"除本篇另有规定者外,对于有曲度的构件,其跨距为跨距点之间的弦长",定义,构件,16,施工,曲度,13,属性
"除本篇另有规定者外,对于有曲度的构件,其跨距为跨距点之间的弦长",属性,构件,16,施工,跨距,20,属性
"除本篇另有规定者外,对于有曲度的构件,其跨距为跨距点之间的弦长",制约,跨距,20,属性,弦长,29,属性
"主要构件的布置,应确保结构的有效连续性,避免剖面或高度的突然变化",属性,主要构件,0,空间,布置,5,进程
"主要构件的布置,应确保结构的有效连续性,避免剖面或高度的突然变化",制约,布置,5,施工,结构,11,施工
"当构件在舱壁或其他主要构件的两侧对接时,应保证其位置在同一直线上",制约,构件,1,施工,位置,24,进程
"当构件在舱壁或其他主要构件的两侧对接时,应保证其位置在同一直线上",制约,主要构件,9,施工,位置,24,进程
"液舱内的主要构件应构成一个连续性的支撑,并尽可能构成一个完整的环形框架",方位,主要构件,4,施工,液舱,0,空间
"液舱内的主要构件应构成一个连续性的支撑,并尽可能构成一个完整的环形框架",制约,主要构件,4,施工,支撑,17,进程
"液舱内的主要构件应构成一个连续性的支撑,并尽可能构成一个完整的环形框架",制约,主要构件,4,施工,环形框架,31,施工
环形框架的接合处应做成具有足够半径的圆角,包含,环形框架,0,施工,接合处,5,施工
环形框架的接合处应做成具有足够半径的圆角,制约,接合处,5,施工,圆角,18,施工
一般圆角半径应不小于邻接构件的腹板高度,属性,圆角,2,施工,半径,4,属性
一般圆角半径应不小于邻接构件的腹板高度,制约,半径,4,属性,邻接构件,10,施工
一般圆角半径应不小于邻接构件的腹板高度,属性,邻接构件,10,施工,腹板高度,15,属性
主要构件应设置防倾肘板,制约,主要构件,0,施工,防倾肘板,7,施工
"当主要构件为对称剖面时,应每4个骨材间距设置防倾肘板",制约,主要构件,1,施工,防倾肘板,22,施工
"所有结构上的开口应尽量避开应力集中区域,如无法避开时应作相应的补偿,开口的角隅处均应有良好的圆角",包含,结构,2,施工,开口,6,施工
"所有结构上的开口应尽量避开应力集中区域,如无法避开时应作相应的补偿,开口的角隅处均应有良好的圆角",制约,开口,6,施工,应力集中区域,13,空间
"所有结构上的开口应尽量避开应力集中区域,如无法避开时应作相应的补偿,开口的角隅处均应有良好的圆角",包含,开口,34,施工,角隅处,37,施工
"所有结构上的开口应尽量避开应力集中区域,如无法避开时应作相应的补偿,开口的角隅处均应有良好的圆角",制约,角隅处,37,施工,圆角,46,施工
构件与板材直接连接时应避免出现硬点,制约,构件,0,施工,板材,3,施工
"在船中0.4L区域内,当强力甲板纵桁的腹板高度大于65tK(t为腹板厚度,K为材料系数)时,应设置平行于面板的水平加强筋",包含,强力甲板,12,施工,纵桁,16,施工
"在船中0.4L区域内,当强力甲板纵桁的腹板高度大于65tK(t为腹板厚度,K为材料系数)时,应设置平行于面板的水平加强筋",制约,纵桁,16,施工,水平加强筋,55,施工
"在船中0.4L区域内,当强力甲板纵桁的腹板高度大于65tK(t为腹板厚度,K为材料系数)时,应设置平行于面板的水平加强筋",方位,水平加强筋,55,施工,面板,52,施工
次要构件的端部一般应设置连接肘板,包含,次要构件,0,施工,端部,5,施工
次要构件的端部一般应设置连接肘板,制约,端部,5,施工,连接肘板,12,施工
"当次要构件穿过主要构件时,次要构件与主要构件腹板的相交处,应予以焊接",连接,次要构件,13,施工,主要构件,18,施工
"当次要构件穿过主要构件时,次要构件与主要构件腹板的相交处,应予以焊接",包含,次要构件,13,施工,相交处,25,施工
"当次要构件穿过主要构件时,次要构件与主要构件腹板的相交处,应予以焊接",制约,相交处,25,施工,焊接,32,进程
"参与总纵弯曲的次要构件在舱壁或横向主要构件处切断时,应设置连接肘板以保证结构的纵向连续性",方位,次要构件,7,施工,舱壁,12,施工
"参与总纵弯曲的次要构件在舱壁或横向主要构件处切断时,应设置连接肘板以保证结构的纵向连续性",方位,次要构件,7,施工,主要构件,17,施工
"参与总纵弯曲的次要构件在舱壁或横向主要构件处切断时,应设置连接肘板以保证结构的纵向连续性",制约,次要构件,7,施工,肘板,31,施工
位于舱壁或横向主要构件两侧的肘板应对齐,方位,肘板,14,施工,舱壁,2,施工
位于舱壁或横向主要构件两侧的肘板应对齐,方位,肘板,14,施工,主要构件,7,施工
位于舱壁或横向主要构件两侧的肘板应对齐,制约,肘板,14,施工,对齐,17,进程
肘板的两臂长应尽可能相等,属性,肘板,0,施工,臂长,4,属性
"当骨材与肘板的连接采用搭接时,搭接长度应不小于骨材腹板高度的1.25倍",连接,骨材,1,施工,肘板,4,施工
"当骨材与肘板的连接采用搭接时,搭接长度应不小于骨材腹板高度的1.25倍",属性,搭接,11,进程,长度,17,属性
"当骨材与肘板的连接采用搭接时,搭接长度应不小于骨材腹板高度的1.25倍",制约,长度,17,属性,骨材,23,施工
"当骨材与肘板的连接采用搭接时,搭接长度应不小于骨材腹板高度的1.25倍",属性,骨材,23,施工,腹板高度,25,属性
"当骨材用肘板与主要构件连接时,该肘板一般应延伸至主要构件的面板",连接,肘板,4,施工,主要构件,7,施工
"当骨材用肘板与主要构件连接时,该肘板一般应延伸至主要构件的面板",制约,肘板,16,施工,主要构件,24,施工
"当骨材用肘板与主要构件连接时,该肘板一般应延伸至主要构件的面板",包含,主要构件,24,施工,面板,29,施工
主要构件的端部应设置连接肘板,包含,主要构件,0,施工,端部,5,施工
主要构件的端部应设置连接肘板,制约,端部,5,施工,肘板,12,施工
"当肘板连接两个主要构件时,肘板的尺寸可按剖面模数较小的主要构件的尺寸确定",连接,肘板,1,施工,主要构件,7,施工
"当肘板连接两个主要构件时,肘板的尺寸可按剖面模数较小的主要构件的尺寸确定",制约,尺寸,16,属性,主要构件,27,施工
"当肘板连接两个主要构件时,肘板的尺寸可按剖面模数较小的主要构件的尺寸确定",属性,肘板,13,施工,尺寸,16,属性
"当肘板连接两个主要构件时,肘板的尺寸可按剖面模数较小的主要构件的尺寸确定",属性,主要构件,27,施工,尺寸,32,属性
"包括主要构件腹板高度在内的端肘板臂长,应不小于2倍的主要构件的腹板高度,肘板的厚度应不小于主要构件腹板的厚度",制约,臂长,16,属性,主要构件,45,施工
"包括主要构件腹板高度在内的端肘板臂长,应不小于2倍的主要构件的腹板高度,肘板的厚度应不小于主要构件腹板的厚度",属性,端肘板,13,施工,臂长,16,属性
"包括主要构件腹板高度在内的端肘板臂长,应不小于2倍的主要构件的腹板高度,肘板的厚度应不小于主要构件腹板的厚度",属性,主要构件,45,施工,腹板高度,31,属性
"肘板应有折边或面板,其尺寸一般与主要构件的面板相同",制约,肘板,0,施工,折边,4,施工
"肘板应有折边或面板,其尺寸一般与主要构件的面板相同",制约,肘板,0,施工,面板,7,施工
"肘板应有折边或面板,其尺寸一般与主要构件的面板相同",属性,肘板,0,施工,尺寸,11,属性
"肘板应有折边或面板,其尺寸一般与主要构件的面板相同",制约,尺寸,11,属性,主要构件,16,施工
"肘板应有折边或面板,其尺寸一般与主要构件的面板相同",包含,主要构件,16,施工,面板,21,施工
主要构件的腹板应与连接构件相焊接,包含,主要构件,0,施工,腹板,5,施工
主要构件的腹板应与连接构件相焊接,制约,腹板,5,施工,连接构件,9,施工
"非液舱内的主要构件,采用整体式端肘板与舱壁连接时(即主要构件的腹板在端部逐渐升高),肘板臂长应不小于1.5倍的主要构件的腹板高度",方位,主要构件,5,施工,非液舱,0,空间
"非液舱内的主要构件,采用整体式端肘板与舱壁连接时(即主要构件的腹板在端部逐渐升高),肘板臂长应不小于1.5倍的主要构件的腹板高度",连接,端肘板,15,施工,舱壁,19,施工
"非液舱内的主要构件,采用整体式端肘板与舱壁连接时(即主要构件的腹板在端部逐渐升高),肘板臂长应不小于1.5倍的主要构件的腹板高度",属性,肘板,42,空间,臂长,44,属性
"非液舱内的主要构件,采用整体式端肘板与舱壁连接时(即主要构件的腹板在端部逐渐升高),肘板臂长应不小于1.5倍的主要构件的腹板高度",制约,臂长,44,属性,主要构件,55,施工
"非液舱内的主要构件,采用整体式端肘板与舱壁连接时(即主要构件的腹板在端部逐渐升高),肘板臂长应不小于1.5倍的主要构件的腹板高度",属性,主要构件,55,施工,腹板高度,60,属性
"主要构件的腹板应与舱壁相焊接,面板应连续延伸至舱壁",属性,主要构件,0,施工,腹板,5,施工
"主要构件的腹板应与舱壁相焊接,面板应连续延伸至舱壁",制约,腹板,5,施工,舱壁,9,施工
"主要构件的腹板应与舱壁相焊接,面板应连续延伸至舱壁",制约,面板,15,施工,舱壁,23,施工
"当甲板纵桁或强横梁与舱壁或外板上的垂直构件相连接时,为保证连接节点具有足够的抗转动刚度,可以要求增大垂直构件的尺度",连接,甲板纵桁,1,施工,舱壁,10,施工
"当甲板纵桁或强横梁与舱壁或外板上的垂直构件相连接时,为保证连接节点具有足够的抗转动刚度,可以要求增大垂直构件的尺度",连接,强横梁,6,施工,舱壁,10,施工
"当甲板纵桁或强横梁与舱壁或外板上的垂直构件相连接时,为保证连接节点具有足够的抗转动刚度,可以要求增大垂直构件的尺度",连接,甲板纵桁,1,施工,外板,13,施工
"当甲板纵桁或强横梁与舱壁或外板上的垂直构件相连接时,为保证连接节点具有足够的抗转动刚度,可以要求增大垂直构件的尺度",连接,强横梁,6,施工,外板,13,施工
"当甲板纵桁或强横梁与舱壁或外板上的垂直构件相连接时,为保证连接节点具有足够的抗转动刚度,可以要求增大垂直构件的尺度",方位,外板,13,施工,垂直构件,17,施工
"当甲板纵桁或强横梁与舱壁或外板上的垂直构件相连接时,为保证连接节点具有足够的抗转动刚度,可以要求增大垂直构件的尺度",制约,垂直构件,50,施工,尺度,55,属性
"为避免主要强力构件端部的应力集中,在大型肘板趾端处,其腹板厚度应适当加厚,肘板的面板应向端部削斜",包含,主要强力构件,3,施工,端部,9,施工
"为避免主要强力构件端部的应力集中,在大型肘板趾端处,其腹板厚度应适当加厚,肘板的面板应向端部削斜",方位,腹板,27,施工,肘板,20,施工
"为避免主要强力构件端部的应力集中,在大型肘板趾端处,其腹板厚度应适当加厚,肘板的面板应向端部削斜",属性,腹板,27,施工,厚度,29,属性
"为避免主要强力构件端部的应力集中,在大型肘板趾端处,其腹板厚度应适当加厚,肘板的面板应向端部削斜",包含,肘板,37,施工,面板,40,施工
"为避免主要强力构件端部的应力集中,在大型肘板趾端处,其腹板厚度应适当加厚,肘板的面板应向端部削斜",制约,面板,40,施工,端部,44,施工
"趾高一般应不大于肘板趾部厚度tw,且应不小于15mm",属性,肘板,8,施工,趾高,0,属性
"趾高一般应不大于肘板趾部厚度tw,且应不小于15mm",属性,肘板,8,施工,趾部厚度,10,属性
"趾高一般应不大于肘板趾部厚度tw,且应不小于15mm",制约,趾高,0,属性,趾部厚度,10,属性
船体结构用钢材的化学成份和力学性能应符合CCS«材料与焊接规范»第1篇第3章的有关规定,包含,船体结构,0,施工,钢材,5,施工
船体结构用钢材的化学成份和力学性能应符合CCS«材料与焊接规范»第1篇第3章的有关规定,属性,钢材,5,施工,化学成份,8,属性
船体结构用钢材的化学成份和力学性能应符合CCS«材料与焊接规范»第1篇第3章的有关规定,属性,钢材,5,施工,力学性能,13,属性
船体结构用钢材的化学成份和力学性能应符合CCS«材料与焊接规范»第1篇第3章的有关规定,制约,化学成份,8,属性,材料与焊接规范,24,成果
船体结构用钢材的化学成份和力学性能应符合CCS«材料与焊接规范»第1篇第3章的有关规定,制约,力学性能,13,属性,材料与焊接规范,24,成果
船用钢材的制造和试验应符合CCS«材料与焊接规范»第1篇第1章及第2章的规定,包含,钢材,2,施工,制造,5,进程
船用钢材的制造和试验应符合CCS«材料与焊接规范»第1篇第1章及第2章的规定,包含,钢材,2,施工,试验,8,进程
船用钢材的制造和试验应符合CCS«材料与焊接规范»第1篇第1章及第2章的规定,制约,制造,5,进程,材料与焊接规范,17,成果
船用钢材的制造和试验应符合CCS«材料与焊接规范»第1篇第1章及第2章的规定,制约,试验,8,进程,材料与焊接规范,17,成果
首柱、舵柱、尾轴架、舵杆及其他结构用的锻钢件、铸钢件应符合CCS«材料与焊接规范»第1篇第5章和第6章的规定,制约,首柱,0,施工,材料与焊接规范,33,成果
首柱、舵柱、尾轴架、舵杆及其他结构用的锻钢件、铸钢件应符合CCS«材料与焊接规范»第1篇第5章和第6章的规定,制约,舵柱,3,施工,材料与焊接规范,33,成果
首柱、舵柱、尾轴架、舵杆及其他结构用的锻钢件、铸钢件应符合CCS«材料与焊接规范»第1篇第5章和第6章的规定,制约,尾轴架,6,施工,材料与焊接规范,33,成果
首柱、舵柱、尾轴架、舵杆及其他结构用的锻钢件、铸钢件应符合CCS«材料与焊接规范»第1篇第5章和第6章的规定,制约,舵杆,10,施工,材料与焊接规范,33,成果
首柱、舵柱、尾轴架、舵杆及其他结构用的锻钢件、铸钢件应符合CCS«材料与焊接规范»第1篇第5章和第6章的规定,制约,锻钢件,19,施工,材料与焊接规范,33,成果
首柱、舵柱、尾轴架、舵杆及其他结构用的锻钢件、铸钢件应符合CCS«材料与焊接规范»第1篇第5章和第6章的规定,制约,铸钢件,23,施工,材料与焊接规范,33,成果
屈服点大于或等于265N/mm2的钢属于高强度钢,定义,高强度钢,23,施工,钢,17,施工
用于制造支撑舵和螺旋桨毂的尾框架、舵、挂舵臂和尾轴架的板材一般应不低于由材料级别II所对应的钢级,包含,尾框架,13,施工,板材,27,施工
用于制造支撑舵和螺旋桨毂的尾框架、舵、挂舵臂和尾轴架的板材一般应不低于由材料级别II所对应的钢级,包含,舵,17,施工,板材,27,施工
用于制造支撑舵和螺旋桨毂的尾框架、舵、挂舵臂和尾轴架的板材一般应不低于由材料级别II所对应的钢级,包含,挂舵臂,19,施工,板材,27,施工
用于制造支撑舵和螺旋桨毂的尾框架、舵、挂舵臂和尾轴架的板材一般应不低于由材料级别II所对应的钢级,包含,尾轴架,23,施工,板材,27,施工
用于制造支撑舵和螺旋桨毂的尾框架、舵、挂舵臂和尾轴架的板材一般应不低于由材料级别II所对应的钢级,制约,板材,27,施工,材料级别II,36,成果
用于制造支撑舵和螺旋桨毂的尾框架、舵、挂舵臂和尾轴架的板材一般应不低于由材料级别II所对应的钢级,包含,材料级别II,36,成果,钢级,46,成果
对于承受集中力的舵结构(如半平衡舵的下舵承或平衡舵的上部分)应取材料级别III,包含,舵,8,施工,半平衡舵,13,施工
对于承受集中力的舵结构(如半平衡舵的下舵承或平衡舵的上部分)应取材料级别III,包含,舵,8,施工,平衡舵,22,施工
对于承受集中力的舵结构(如半平衡舵的下舵承或平衡舵的上部分)应取材料级别III,包含,半平衡舵,13,施工,下舵承,18,施工
对于承受集中力的舵结构(如半平衡舵的下舵承或平衡舵的上部分)应取材料级别III,制约,舵,8,施工,材料级别III,32,成果
"用于增强构件的材料级别,以及用于焊接连接件的材质(低碳钢或高强度结构钢)例如舭龙骨垫板,通常应与该处的船体外板相同",定义,材料级别,7,属性,构件,4,施工
"用于增强构件的材料级别,以及用于焊接连接件的材质(低碳钢或高强度结构钢)例如舭龙骨垫板,通常应与该处的船体外板相同",定义,材质,22,施工,连接件,18,施工
"用于增强构件的材料级别,以及用于焊接连接件的材质(低碳钢或高强度结构钢)例如舭龙骨垫板,通常应与该处的船体外板相同",包含,材质,22,施工,低碳钢,25,施工
"用于增强构件的材料级别,以及用于焊接连接件的材质(低碳钢或高强度结构钢)例如舭龙骨垫板,通常应与该处的船体外板相同",包含,材质,22,施工,高强度结构钢,29,施工
"用于增强构件的材料级别,以及用于焊接连接件的材质(低碳钢或高强度结构钢)例如舭龙骨垫板,通常应与该处的船体外板相同",制约,舭龙骨垫板,38,施工,外板,53,施工
"当构件与圆弧形舷板连接时,对所需的钢级,应作特殊考虑,并应注意到所需结构布置及连接的细则",连接,构件,1,施工,圆弧形舷板,4,施工
"当构件与圆弧形舷板连接时,对所需的钢级,应作特殊考虑,并应注意到所需结构布置及连接的细则",定义,舷板,7,施工,圆弧形舷板,4,施工
"船中0.4L区域内的甲板板、舷顶列板以及纵舱壁上列板的材料级别,在尾楼前端和桥楼两端处,亦应保持不变",属性,甲板板,10,施工,材料级别,27,属性
"船中0.4L区域内的甲板板、舷顶列板以及纵舱壁上列板的材料级别,在尾楼前端和桥楼两端处,亦应保持不变",属性,舷顶列板,14,施工,材料级别,27,属性
"船中0.4L区域内的甲板板、舷顶列板以及纵舱壁上列板的材料级别,在尾楼前端和桥楼两端处,亦应保持不变",属性,纵舱壁上列板,20,施工,材料级别,27,属性
"集装箱船的中部0.4L区域内的强力甲板、舷顶列板及抗扭箱形结构所用的材料级别,在整个货舱区域内应保持不变",方位,强力甲板,15,施工,集装箱船,0,建筑
"集装箱船的中部0.4L区域内的强力甲板、舷顶列板及抗扭箱形结构所用的材料级别,在整个货舱区域内应保持不变",方位,舷顶列板,20,施工,集装箱船,0,建筑
"集装箱船的中部0.4L区域内的强力甲板、舷顶列板及抗扭箱形结构所用的材料级别,在整个货舱区域内应保持不变",方位,抗扭箱形结构,25,施工,集装箱船,0,建筑
